"","Species","Colony","Core","Total.init","PropD.init","MaxY.init","BleachLvl","Total.bleach","PropD.bleach","MaxY.bleach","RecovTemp","Total.recov","PropD.recov","MaxY.recov","BleachLvl2","Total.bleach2","PropD.bleach2","MaxY.bleach2","Total.recov2","PropD.recov2","MaxY.recov2"
"109","Ss","Ss11","Ss11_11",0.185803131,0,0.502,"Med",0.004088677,0.403818888114664,0.183,"29",0.00990029,0.949695715984077,0.319,NA,NA,NA,NA,NA,NA,NA
"110","Ss","Ss11","Ss11_12",0.211525465,0,0.524,"High",0.000182746,0,0.154,"29",0.110334211,0.768275181666002,0.26,NA,NA,NA,NA,NA,NA,NA
"111","Ss","Ss11","Ss11_13",0.336594072,0,0.497,"Med",0.099465322,0,0.173,"29",0.066223747,0.921064221871952,0.323,NA,NA,NA,NA,NA,NA,NA
"112","Ss","Ss11","Ss11_16",0.191374337,0,0.488,"Low",0.034271003,0.0276423774349411,0.263,"24",0.186014994,0.100498522178271,0.591,NA,NA,NA,NA,NA,NA,NA
"113","Ss","Ss11","Ss11_19",0.143103708,0,0.548,"High",0.000138936,0,0.214,"24",0.340859032,0.373366318777787,0.351,NA,NA,NA,NA,NA,NA,NA
"114","Ss","Ss11","Ss11_20",0.104897482,0,0.517,"High",0.000265427,0,0.194,"29",0.060036233,0.991192168902403,0.316,NA,NA,NA,NA,NA,NA,NA
"115","Ss","Ss11","Ss11_21",0.0535441,0,0.472,"Low",0.028329721,0,0.298,"29",0.219373407,0.962028975553997,0.277,NA,NA,NA,NA,NA,NA,NA
"116","Ss","Ss12","Ss12_1",0.178222322,0.97145984889592,0.483,"High",0.008652956,0.953850684089923,0.4,"29",0.043594717,0.986924608318939,0.419,NA,NA,NA,NA,NA,NA,NA
"117","Ss","Ss12","Ss12_3",0.429959555,0.948403416688809,0.436,"Med",0.12976301,0.972773257956948,0.373,"29",0.049309039,0.996612446655065,0.437,NA,NA,NA,NA,NA,NA,NA
"118","Ss","Ss12","Ss12_4",2.567405575,0.954032866038316,0.437,"Med",1.342245046,1,0.321,"24",0.136035184,0.997152302892464,0.405,NA,NA,NA,NA,NA,NA,NA
"119","Ss","Ss12","Ss12_6",0.273805489,0.610222835963672,0.48,"High",0.008630298,0.919772063490739,0.325,"29",0.080912244,0.991250656699127,0.432,NA,NA,NA,NA,NA,NA,NA
"120","Ss","Ss12","Ss12_13",0.139557745,0.947772350434582,0.435,"Med",4.028221669,1,0.348,"24",0.138595337,0.995003453831928,0.4,NA,NA,NA,NA,NA,NA,NA
"121","Ss","Ss12","Ss12_14",0.070533341,0.872645335203957,0.431,"Low",0.017745645,0.955661910288412,0.342,"24",0.347174229,0.997628830335791,0.395,NA,NA,NA,NA,NA,NA,NA
"122","Ss","Ss12","Ss12_15",0.179124008,0.823093937245978,0.521,"High",0.003916003,1,0.303,"24",0.135997743,0.993551540042837,0.398,NA,NA,NA,NA,NA,NA,NA
"123","Ss","Ss12","Ss12_16",0.220940904,0.56338960213542,0.449,"Med",0.026882993,0.932576294611244,0.283,"29",0.033001824,0.983933372894783,0.394,NA,NA,NA,NA,NA,NA,NA
"124","Ss","Ss12","Ss12_17",0.409855841,0.608705571674407,0.493,"High",NA,NA,0.279,"24",1.645851174,0.947847027510156,0.422,NA,NA,NA,NA,NA,NA,NA
"125","Ss","Ss12","Ss12_19",0.075463482,0.849646110949399,0.459,"Low",0.045642844,0.921610932044462,0.37,"24",0.111802865,0.980330360943792,0.568,NA,NA,NA,NA,NA,NA,NA
"126","Ss","Ss12","Ss12_20",0.05168916,0.933849553755565,0.433,"Low",0.155332565,0.959941484259917,0.342,"29",0.113677832,0.992253335725122,0.417,NA,NA,NA,NA,NA,NA,NA
"127","Ss","Ss12","Ss12_21",0.051815631,0.827386295845746,0.447,"Low",0.053486558,0.88545224764697,0.354,"29",0.226658629,0.997945924220692,0.405,NA,NA,NA,NA,NA,NA,NA
"128","Ss","Ss13","Ss13_2",0.158024417,0,0.475,"Med",0.018343232,0,0.094,"29",0.492080593,0.999029939390436,0.3,NA,NA,NA,NA,NA,NA,NA
"129","Ss","Ss13","Ss13_4",0.087103583,0,0.526,"High",7.17889e-05,0,0.291,"24",0.143129111,0.996778810426623,0.42,NA,NA,NA,NA,NA,NA,NA
"130","Ss","Ss13","Ss13_6",0.132539593,0,0.436,"Low",0.366286203,0,0.359,"24",0.096475434,0.0238062572488661,0.423,NA,NA,NA,NA,NA,NA,NA
"131","Ss","Ss13","Ss13_7",0.611031152,0,0.481,"High",0.000194396,0,0.189,"29",0.780901096,0.994416044461538,0.321,NA,NA,NA,NA,NA,NA,NA
"132","Ss","Ss13","Ss13_8",0.100291997,0,0.457,"Low",0.034952993,0,0.153,"29",0.631891461,0.985236279367921,0.297,NA,NA,NA,NA,NA,NA,NA
"133","Ss","Ss13","Ss13_10",0.107199823,0,0.414,"Low",0.060144554,0,0.179,"29",0.423900062,0.864975289859712,0.28,NA,NA,NA,NA,NA,NA,NA
"134","Ss","Ss13","Ss13_15",0.401083133,0,0.443,"Low",0.028846504,0,0.138,"24",0.036004746,0.0768871414896247,0.593,NA,NA,NA,NA,NA,NA,NA
"135","Ss","Ss13","Ss13_16",0.430159463,0,0.521,"High",0.000124579,0,0.244,"24",0.100185119,0.989051916981802,0.384,NA,NA,NA,NA,NA,NA,NA
"136","Ss","Ss13","Ss13_18",0.083295904,0,0.48,"Med",0.003764428,0,0.08,"29",0.067523156,0.994724891117352,0.348,NA,NA,NA,NA,NA,NA,NA
"137","Ss","Ss13","Ss13_19",0.154857803,0,0.458,"Med",0.003799973,0,0.109,"24",0.082649511,0.95239449148102,0.332,NA,NA,NA,NA,NA,NA,NA
"138","Ss","Ss13","Ss13_21",0.240404936,0,0.457,"Med",0.003445843,0,0.106,"24",0.227975667,0.9617474614078,0.328,NA,NA,NA,NA,NA,NA,NA
"139","Of","Of1","Of1_1",0.511249968,0.348044565549978,0.468,"Low",0.119170219,0.237650633167,0.37,"29",1.150683024,0.0667576677484728,0.47,NA,NA,NA,NA,NA,NA,NA
"140","Of","Of1","Of1_10",0.196237908,0.90106401358498,0.42,"Low",0.23697582,0.913983148154103,0.362,"24",0.153283336,0.704993979254209,0.46,NA,NA,NA,NA,NA,NA,NA
